Name,METADATA Attribute,Required,Value Set Code,Category,Context,Description
"Work Location","hrxMxLocSegment_Display(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_MX_TRU_LOC)","No","ORA_MX_TRU_LOCATION","Tax Reporting Unit For Mexico","Employer Location",""
"Work End Time","_WORK_END_TIME(PER_ORGANIZATION_INFORMATION_EFF=PER_WORK_DAY_INFO)","No","PER_TIME_UNITS","Department","Workday Information","The Work End Time"
"Work End Time","_WORK_END_TIME(PER_ORGANIZATION_INFORMATION_EFF=PER_WORK_DAY_INFO)","No","PER_TIME_UNITS","Enterprise","Workday Information","The Work End Time"
"Work End Time","_WORK_END_TIME(PER_ORGANIZATION_INFORMATION_EFF=PER_WORK_DAY_INFO)","No","PER_TIME_UNITS","Legal Employer","Workday Information","The Work End Time"
"Work Email","workEmail(PER_ORGANIZATION_INFORMATION_EFF=ORA_PER_UNION_ASSOCIATED_BARGAINING_UNITS)","No","HRC_CHAR_60","Worker Union","Associated Bargaining Units","The Work Email"
"Work Email","workEmail(PER_ORGANIZATION_INFORMATION_EFF=ORA_PER_UNION_CONTACTS)","No","HRC_CHAR_60","Worker Union","Union Contacts","The Work Email"
"Withholding Tax Paid This Year","_WITHHOLDING_TAX_PAID_THIS_YEAR(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_RULES_ID)","No","HRC_NUMBER_11_2","Tax Reporting Unit For United States","Idaho W-2 Reporting Rules Overrides","Captures Withholding Tax Paid This Year"
"Withholding Tax Paid This Year","_WITHHOLDING_TAX_PAID_THIS_YEAR(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_RULES_MD)","No","HRX_US_NUMBER_12_2","Tax Reporting Unit For United States","Maryland W-2 Reporting Rules Overrides","Captures Withholding Tax Paid This Year"
"Web Page","_WEB_PAGE(PER_ORGANIZATION_INFORMATION_EFF=HRX_CN_CORPORATE_INFO)","No","HRC_CHAR_120","Legal Employer For China","Chinese Employer Information",""
"Waybill Number","mxSsIMSSWAYBILL(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_MX_TRU_SS_DETAILS)","No","ORA_5_Number","Tax Reporting Unit For Mexico","Mexico Social Security Details",""
"Ward, Circle, or Range","_WARD_CIR_RANGE(PER_ORGANIZATION_INFORMATION_EFF=HRX_IN_TRU_IT_INFO)","No","HRX_IN_CHAR_30","Tax Reporting Unit For India","Income Tax",""
"Wages Reported to Other States","_OTHER_STATES_WAGES_REPORTED(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_SQWL_RULES_AK)","Yes","HRC_YES_NO","Payroll Statutory Unit For United States","Alaska State Quarterly Wage Listing Rules","Captures the wages reported to other states."
"Wages Reported to Other States","_OTHER_STATES_WAGES_REPORTED(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_SQWL_RULES_AK)","Yes","HRC_YES_NO","Tax Reporting Unit For United States","Alaska State Quarterly Wage Listing Rules Overrides","Captures the wages reported to other states."
"Wages Reported to Other States","_OTHER_STATES_WAGES_REPORTED_Display(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_SQWL_RULES_AK)","Yes","HRC_YES_NO","Payroll Statutory Unit For United States","Alaska State Quarterly Wage Listing Rules","Captures the wages reported to other states."
