Name,METADATA Attribute,Required,Value Set Code,Category,Context,Description
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_RULES_MI)","No","HRC_CHAR_8","Tax Reporting Unit For United States","Michigan W-2 Reporting Rules Overrides","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_RULES_MN)","No","HRC_CHAR_8","Tax Reporting Unit For United States","Minnesota W-2 Reporting Rules Overrides","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_RULES_MS)","No","HRC_CHAR_8","Tax Reporting Unit For United States","Mississippi W-2 Reporting Rules Overrides","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_RULES_MT)","No","HRC_CHAR_8","Tax Reporting Unit For United States","Montana W-2 Reporting Rules Overrides","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_RULES_ND)","No","HRC_CHAR_8","Tax Reporting Unit For United States","North Dakota W-2 Reporting Rules Overrides","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_RULES_NE)","No","HRC_CHAR_8","Tax Reporting Unit For United States","Nebraska W-2 Reporting Rules Overrides","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_RULES_NJ)","No","HRC_CHAR_8","Tax Reporting Unit For United States","New Jersey W-2 Reporting Rules Overrides","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_RULES_NM)","No","HRC_CHAR_8","Tax Reporting Unit For United States","New Mexico W-2 Reporting Rules Overrides","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_RULES_OH)","No","HRC_CHAR_8","Tax Reporting Unit For United States","Ohio W-2 Reporting Rules Overrides","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_RULES_OR)","No","HRC_CHAR_8","Tax Reporting Unit For United States","Oregon W-2 Reporting Rules Overrides","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_RULES_PA)","No","HRC_CHAR_8","Tax Reporting Unit For United States","Pennsylvania W-2 Reporting Rules Overrides","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_RULES_PR)","No","HRC_CHAR_8","Tax Reporting Unit For United States","Puerto Rico W-2 Reporting Rules Overrides","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_RULES_RI)","No","HRC_CHAR_8","Tax Reporting Unit For United States","Rhode Island W-2 Reporting Rules Overrides","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_RULES_SC)","No","HRC_CHAR_8","Tax Reporting Unit For United States","South Carolina W-2 Reporting Rules Overrides","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_RULES_UT)","No","HRC_CHAR_8","Tax Reporting Unit For United States","Utah W-2 Reporting Rules Overrides","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_RULES_VI)","No","HRC_CHAR_8","Tax Reporting Unit For United States","Virgin Islands W-2 Reporting Rules Overrides","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_RULES_VT)","No","HRC_CHAR_8","Tax Reporting Unit For United States","Vermont W-2 Reporting Rules Overrides","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_RULES_WI)","No","HRC_CHAR_8","Tax Reporting Unit For United States","Wisconsin W-2 Reporting Rules Overrides","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_RULES_WV)","No","HRC_CHAR_8","Tax Reporting Unit For United States","West Virginia W-2 Reporting Rules Overrides","Captures the user identification."
"User ID","_USER_ID(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_SQWL_RULES_NH)","No","HRC_NUMBER_8","Payroll Statutory Unit For United States","New Hampshire State Quarterly Wage Listing Rules","Captures User ID for New Hampshire"
"User ID","_USER_ID(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_SQWL_RULES_NH)","No","HRC_NUMBER_8","Tax Reporting Unit For United States","New Hampshire State Quarterly Wage Listing Rules Overrides","Captures User ID"
"User ID","userid(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_EEO_REP_INF)","No","ORA_HRX_US_USER_ID","Tax Reporting Unit For United States","EEO Reporting Information","Captures User ID."
"User Account Role Provisioning","_PER_ENT_USER_ACC_ROLE_PROV(PER_ORGANIZATION_INFORMATION_EFF=PER_ENT_USER_ROLE_PROV_INFO)","No","PER_USER_ROLE_PROV_VS","Enterprise","User and Role Provisioning Information","The User Account Role Provisioning"
"User Account Role Provisioning","_PER_ENT_USER_ACC_ROLE_PROV_Display(PER_ORGANIZATION_INFORMATION_EFF=PER_ENT_USER_ROLE_PROV_INFO)","No","PER_USER_ROLE_PROV_VS","Enterprise","User and Role Provisioning Information","The User Account Role Provisioning"
"User Account Maintenance","_PER_ENT_USER_ACC_MAINT(PER_ORGANIZATION_INFORMATION_EFF=PER_ENT_USER_ROLE_PROV_INFO)","No","PER_USER_ROLE_PROV_VS","Enterprise","User and Role Provisioning Information","The User Account Maintenance"
"User Account Maintenance","_PER_ENT_USER_ACC_MAINT_Display(PER_ORGANIZATION_INFORMATION_EFF=PER_ENT_USER_ROLE_PROV_INFO)","No","PER_USER_ROLE_PROV_VS","Enterprise","User and Role Provisioning Information","The User Account Maintenance"
"User Account Creation for Terminated Workers","userAccountCreationFor(PER_ORGANIZATION_INFORMATION_EFF=PER_ENT_USER_ROLE_PROV_INFO)","No","HRC_YES_NO","Enterprise","User and Role Provisioning Information","The User Account Creation for Terminated Workers"
"User Account Creation","_PER_ENT_USER_ACC_CREATE(PER_ORGANIZATION_INFORMATION_EFF=PER_ENT_USER_ROLE_PROV_INFO)","No","PER_USER_ROLE_PROV_VS","Enterprise","User and Role Provisioning Information","The User Account Creation"
"User Account Creation","_PER_ENT_USER_ACC_CREATE_Display(PER_ORGANIZATION_INFORMATION_EFF=PER_ENT_USER_ROLE_PROV_INFO)","No","PER_USER_ROLE_PROV_VS","Enterprise","User and Role Provisioning Information","The User Account Creation"
"Use Work Schedule to Derive Dates","oraHrxCaRoeWorkSchedule(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_CA_PSU_ROE_OCPTION)","No","HRC_YES_NO","Payroll Statutory Unit For Canada","Record of Employment Reporting Rules","Determines whether the ROE process derives required dates from the employee work schedule."
"Use Work Schedule to Derive Dates","oraHrxCaRoeWorkSchedule_Display(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_CA_PSU_ROE_OCPTION)","No","HRC_YES_NO","Payroll Statutory Unit For Canada","Record of Employment Reporting Rules","Determines whether the ROE process derives required dates from the employee work schedule."
"Use Position Trees","UsePositionTrees(PER_ORGANIZATION_INFORMATION_EFF=ORA_PER_POS_HIER_CONFIG)","No","ORA_PER_EMCOR_YES_NO","Enterprise","Position Hierarchy Configuration",""
"Use Position Standard Working Hours","oraPerUsePosStdWrkingHrs(PER_ORGANIZATION_INFORMATION_EFF=ORA_PER_ASG_STANDARD_WORKING_HOURS)","No","PER_YES_NO","Enterprise","Standard Working Hours Configuration","The Use Position Standard Working Hours"
"Use HCM Position Hierarchy","UseHcmPositionHierarchy(PER_ORGANIZATION_INFORMATION_EFF=ORA_PER_POS_HIER_CONFIG)","No","ORA_PER_EMCOR_YES_NO","Enterprise","Position Hierarchy Configuration",""
"Unprocessed Event Retention Period","oraHrxCaRoeEventRetnPeriod(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_CA_PSU_ROE_OCPTION)","No","ORA_HRX_CA_ROE_EVENT_RETN_PERIOD","Payroll Statutory Unit For Canada","Record of Employment Reporting Rules","Enter the number of days to retain unprocessed ROE events, with a minimum retention period of 30 days."
"Unique Segment Identifier","oraHrxCaAbUnique(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_CA_PSU_WC_AB_DETAIL)","Yes","HRC_NUMBER_20","Payroll Statutory Unit For Canada","Alberta Account Details","Unique Key segment for the context."
"Unique Segment Identifier","oraHrxCaBcPmUnique(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_CA_PSU_PM_BC_DETAIL)","Yes","HRC_NUMBER_20","Payroll Statutory Unit For Canada","British Columbia Provincial Medical Account Details","Identifies the segment Uniquely"
"Unique Segment Identifier","oraHrxCaBcUnique(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_CA_PSU_WC_BC_DETAIL)","Yes","HRC_NUMBER_20","Payroll Statutory Unit For Canada","British Columbia Account Details","Unique key segment for the context."
"Unique Segment Identifier","oraHrxCaMbPmUnique(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_CA_PSU_PM_MB_DETAIL)","Yes","HRC_NUMBER_20","Payroll Statutory Unit For Canada","Manitoba Provincial Medical Account Details","Identifies the segment Uniquely"
"Unique Segment Identifier","oraHrxCaMbUnique(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_CA_PSU_WC_MB_DETAIL)","Yes","HRC_NUMBER_20","Payroll Statutory Unit For Canada","Manitoba Account Details","Unique key segment for the context"
"Unique Segment Identifier","oraHrxCaNbUnique(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_CA_PSU_WC_NB_DETAIL)","Yes","HRC_NUMBER_20","Payroll Statutory Unit For Canada","New Brunswick Account Details","Unique key segment for the context"
"Unique Segment Identifier","oraHrxCaNlPmUnique(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_CA_PSU_PM_NL_DETAIL)","Yes","HRC_NUMBER_20","Payroll Statutory Unit For Canada","Newfoundland and Labrador Provincial Medical Account Details","Identifies the segment Uniquely"
"Unique Segment Identifier","oraHrxCaNlUnique(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_CA_PSU_WC_NL_DETAIL)","Yes","HRC_NUMBER_20","Payroll Statutory Unit For Canada","Newfoundland and Labrador Account Details","Unique key segment for context"
"Unique Segment Identifier","oraHrxCaNsUnique(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_CA_PSU_WC_NS_DETAIL)","Yes","HRC_NUMBER_20","Payroll Statutory Unit For Canada","Nova Scotia Account Details","Unique key segment for the context"
"Unique Segment Identifier","oraHrxCaNtUnique(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_CA_PSU_WC_NT_DETAIL)","Yes","HRC_NUMBER_20","Payroll Statutory Unit For Canada","Northwest Territories Account Details","Unique key segment for the context"
"Unique Segment Identifier","oraHrxCaNuUnique(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_CA_PSU_WC_NU_DETAIL)","Yes","HRC_NUMBER_20","Payroll Statutory Unit For Canada","Nunavut Account Details","Unique key segment for the context."
"Unique Segment Identifier","oraHrxCaOnPmUnique(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_CA_PSU_PM_ON_DETAIL)","Yes","HRC_NUMBER_20","Payroll Statutory Unit For Canada","Ontario Provincial Medical Account Details","Identifies the segment Uniquely"
"Unique Segment Identifier","oraHrxCaOnUnique(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_CA_PSU_WC_ON_DETAIL)","Yes","HRC_NUMBER_20","Payroll Statutory Unit For Canada","Ontario Account Details","Unique key segment for the context"
"Unique Segment Identifier","oraHrxCaPeUnique(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_CA_PSU_WC_PE_DETAIL)","Yes","HRC_NUMBER_20","Payroll Statutory Unit For Canada","Prince Edward Island Account Details","Unique key segment for the context."
"Unique Segment Identifier","oraHrxCaQcUnique(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_CA_PSU_WC_QC_DETAIL)","Yes","HRC_NUMBER_20","Payroll Statutory Unit For Canada","Quebec Account Details","Unique key segment for the context."
"Unique Segment Identifier","oraHrxCaSkUnique(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_CA_PSU_WC_SK_DETAIL)","Yes","HRC_NUMBER_20","Payroll Statutory Unit For Canada","Saskatchewan Account Details","Unique key segment for the context"
"Unique Segment Identifier","oraHrxCaYtUnique(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_CA_PSU_WC_YT_DETAIL)","Yes","HRC_NUMBER_20","Payroll Statutory Unit For Canada","Yukon Account Details","Unique key segment for the context."
"Unique ID List","_UNIQUE_ID_LIST(PER_ORGANIZATION_INFORMATION_EFF=HRX_GB_TRU_INFO)","No","HRX_GB_UNIQUE_ID_LOOKUPS","Tax Reporting Unit UK","UK Tax Reporting Unit Information","Name of the user-defined lookup type that is used to store the Unique IDs."
"Union, Bargaining Unit and Collective Agreement","bargainingUnit(PER_ORGANIZATION_INFORMATION_EFF=ORA_PER_POS_SYNC_ATTRS)","No","ORA_PER_EMCOR_YES_NO","Enterprise","Position Synchronization Configuration","The Bargaining Unit"
"Union, Bargaining Unit and Collective Agreement","bargainingUnit(PER_ORGANIZATION_INFORMATION_EFF=ORA_PER_POS_SYNC_LEMP_ATTRS)","No","ORA_PER_EMCOR_YES_NO","Legal Employer","Position Synchronization Configuration for Legal Employer","The Bargaining Unit"
"Unemployment Contribution Amount Due","_UNEMP_CONTRIBUTION_AMT_DUE(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_SQWL_RULES_VT)","Yes","HRC_NUMBER_11","Tax Reporting Unit For United States","Vermont State Quarterly Wage Listing Rules Overrides","Captures Unemployment Contribution Amount Due for Vermont"
"Unemployment Agency Center Location","unemploymentAgencyCenter(PER_ORGANIZATION_INFORMATION_EFF=HRX_FR_TRU_CORPORATE_INFO)","No","ORA_HRX_FR_POLE_EMPLOI","Tax Reporting Unit For France","French Establishment Information","This segment captures France Unemployment Agency Center Location"
"Unemployment Agency Center Location","unemploymentAgencyCenter_Display(PER_ORGANIZATION_INFORMATION_EFF=HRX_FR_TRU_CORPORATE_INFO)","No","ORA_HRX_FR_POLE_EMPLOI","Tax Reporting Unit For France","French Establishment Information","This segment captures France Unemployment Agency Center Location"
"URSSAF Center Location","_URSSAF_CENTER_LOC(PER_ORGANIZATION_INFORMATION_EFF=HRX_FR_TRU_CORPORATE_INFO)","No","HRX_FR_URSSAF_CENTER","Tax Reporting Unit For France","French Establishment Information","This segment captures France URSSAF Center Location"
"URSSAF Center Location","_URSSAF_CENTER_LOC_Display(PER_ORGANIZATION_INFORMATION_EFF=HRX_FR_TRU_CORPORATE_INFO)","No","HRX_FR_URSSAF_CENTER","Tax Reporting Unit For France","French Establishment Information","This segment captures France URSSAF Center Location"
"UOM","orahrxGbEeUom(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_GB_PEN_SCHEMES_LEMP_DETAILS)","No","ORA_HRX_GB_PEN_EE_UOM_VS","Legal Employer For United Kingdom","Pension Schemes",""
"UOM","orahrxGbEeUom_Display(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_GB_PEN_SCHEMES_LEMP_DETAILS)","No","ORA_HRX_GB_PEN_EE_UOM_VS","Legal Employer For United Kingdom","Pension Schemes",""
"Type of Reporting Organization","_ORG_REPORTING_TYPE(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_LEMP_VETS_RULES)","Yes","HRX_US_ORG_TYPE_VETS","Legal Employer For United States","VETS Reporting Rules","Captures the Type of Reporting Organization"
"Type of Reporting Organization","_REPORTING_ORGANIZATION_TYPE(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_VETS_FEDERAL_RULES)","Yes","HRX_US_ORG_TYPE_VETS","Tax Reporting Unit For United States","VETS Reporting Information","Captures type of reporting organization."
"Type of Information","_TYPE_OF_INFORMATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_SQWL_RULES_MT)","Yes","HRX_US_TYPE_OF_INFO_MT","Tax Reporting Unit For United States","Montana State Quarterly Wage Listing Rules Overrides","Captures Type of Information."
"Type of Information","_TYPE_OF_INFORMATION_Display(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_SQWL_RULES_MT)","Yes","HRX_US_TYPE_OF_INFO_MT","Tax Reporting Unit For United States","Montana State Quarterly Wage Listing Rules Overrides","Captures Type of Information."
"Type of Government","typeOfGovernment(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_US_LEMP_EEO4_REP_INF)","No","ORA_HRX_US_EEO4_GOVERNMENT_TYPE","Legal Employer For United States","EEO-4 Reporting Information",""
"Type of Government","typeOfGovernment_Display(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_US_LEMP_EEO4_REP_INF)","No","ORA_HRX_US_EEO4_GOVERNMENT_TYPE","Legal Employer For United States","EEO-4 Reporting Information",""
"Type of Employment","_EMPLOYMENT_CODE(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_FEDERAL_RULES)","Yes","HRX_US_FED_TYPE_EMPLOYMENT","Tax Reporting Unit For United States","Federal Year-End Reporting Rules","Captures the Type of Employment."
"Type of Employment","_EMPLOYMENT_CODE_Display(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_FEDERAL_RULES)","Yes","HRX_US_FED_TYPE_EMPLOYMENT","Tax Reporting Unit For United States","Federal Year-End Reporting Rules","Captures the Type of Employment."
"Type of Employment","_TYPE_OF_EMPLOYMENT(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_SQWL_RULES_AR)","No","HRX_US_TYPE_EMPLOYMENT","Payroll Statutory Unit For United States","Arkansas State Quarterly Wage Listing Rules","Captures the type of employment."
"Type of Employment","_TYPE_OF_EMPLOYMENT(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_SQWL_RULES_CT)","Yes","HRX_US_TYPE_EMPLOYMENT_CT","Payroll Statutory Unit For United States","Connecticut State Quarterly Wage Listing Rules","Captures the type of employment."
"Type of Employment","_TYPE_OF_EMPLOYMENT(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_SQWL_RULES_IA)","Yes","HRX_US_TYPE_EMPLOYMENT_CT","Payroll Statutory Unit For United States","Iowa State Quarterly Wage Listing Rules","Captures the type of employment"
"Type of Employment","_TYPE_OF_EMPLOYMENT(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_SQWL_RULES_NH)","No","HRX_US_FED_TYPE_EMPLOYMENT","Payroll Statutory Unit For United States","New Hampshire State Quarterly Wage Listing Rules","Captures Type of Employment"
"Type of Employment","_TYPE_OF_EMPLOYMENT(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_SQWL_RULES_PA)","Yes","HRX_US_TYPE_EMPLOYMENT","Payroll Statutory Unit For United States","Pennsylvania State Quarterly Wage Listing Rules","Captures the type of employment."
"Type of Employment","_TYPE_OF_EMPLOYMENT(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_SQWL_RULES_SC)","Yes","HRX_US_TYPE_EMPLOYMENT","Payroll Statutory Unit For United States","South Carolina State Quarterly Wage Listing Rules","Captures Type of Employment."
"Type of Employment","_TYPE_OF_EMPLOYMENT(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_FEDERAL_RULES)","Yes","HRX_US_FED_TYPE_EMPLOYMENT","Payroll Statutory Unit For United States","Federal W-2 Reporting Rules","Captures Type of Employment"
"Type of Employment","_TYPE_OF_EMPLOYMENT(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_SQWL_RULES_AR)","No","HRX_US_TYPE_EMPLOYMENT","Tax Reporting Unit For United States","Arkansas State Quarterly Wage Listing Rules Overrides","Captures the type of employment."
"Type of Employment","_TYPE_OF_EMPLOYMENT(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_SQWL_RULES_CT)","Yes","HRX_US_TYPE_EMPLOYMENT_CT","Tax Reporting Unit For United States","Connecticut State Quarterly Wage Listing Rules Overrides","Captures the type of employment."
"Type of Employment","_TYPE_OF_EMPLOYMENT(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_SQWL_RULES_NH)","No","HRX_US_FED_TYPE_EMPLOYMENT","Tax Reporting Unit For United States","New Hampshire State Quarterly Wage Listing Rules Overrides","Captures Type of Employment"
"Type of Employment","_TYPE_OF_EMPLOYMENT(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_SQWL_RULES_PA)","Yes","HRX_US_TYPE_EMPLOYMENT","Tax Reporting Unit For United States","Pennsylvania State Quarterly Wage Listing Rules Overrides","Captures the type of employment."
"Type of Employment","_TYPE_OF_EMPLOYMENT(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_SQWL_RULES_SC)","Yes","HRX_US_TYPE_EMPLOYMENT","Tax Reporting Unit For United States","South Carolina State Quarterly Wage Listing Rules Overrides","Captures Type of Employment."
"Type of Employment","_TYPE_OF_EMPLOYMENT_Display(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_SQWL_RULES_AR)","No","HRX_US_TYPE_EMPLOYMENT","Payroll Statutory Unit For United States","Arkansas State Quarterly Wage Listing Rules","Captures the type of employment."
"Type of Employment","_TYPE_OF_EMPLOYMENT_Display(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_SQWL_RULES_CT)","Yes","HRX_US_TYPE_EMPLOYMENT_CT","Payroll Statutory Unit For United States","Connecticut State Quarterly Wage Listing Rules","Captures the type of employment."
"Type of Employment","_TYPE_OF_EMPLOYMENT_Display(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_SQWL_RULES_IA)","Yes","HRX_US_TYPE_EMPLOYMENT_CT","Payroll Statutory Unit For United States","Iowa State Quarterly Wage Listing Rules","Captures the type of employment"
"Type of Employment","_TYPE_OF_EMPLOYMENT_Display(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_SQWL_RULES_NH)","No","HRX_US_FED_TYPE_EMPLOYMENT","Payroll Statutory Unit For United States","New Hampshire State Quarterly Wage Listing Rules","Captures Type of Employment"
"Type of Employment","_TYPE_OF_EMPLOYMENT_Display(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_SQWL_RULES_PA)","Yes","HRX_US_TYPE_EMPLOYMENT","Payroll Statutory Unit For United States","Pennsylvania State Quarterly Wage Listing Rules","Captures the type of employment."
"Type of Employment","_TYPE_OF_EMPLOYMENT_Display(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_SQWL_RULES_SC)","Yes","HRX_US_TYPE_EMPLOYMENT","Payroll Statutory Unit For United States","South Carolina State Quarterly Wage Listing Rules","Captures Type of Employment."
"Type of Employment","_TYPE_OF_EMPLOYMENT_Display(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_FEDERAL_RULES)","Yes","HRX_US_FED_TYPE_EMPLOYMENT","Payroll Statutory Unit For United States","Federal W-2 Reporting Rules","Captures Type of Employment"
"Type of Employment","_TYPE_OF_EMPLOYMENT_Display(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_SQWL_RULES_AR)","No","HRX_US_TYPE_EMPLOYMENT","Tax Reporting Unit For United States","Arkansas State Quarterly Wage Listing Rules Overrides","Captures the type of employment."
"Type of Employment","_TYPE_OF_EMPLOYMENT_Display(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_SQWL_RULES_CT)","Yes","HRX_US_TYPE_EMPLOYMENT_CT","Tax Reporting Unit For United States","Connecticut State Quarterly Wage Listing Rules Overrides","Captures the type of employment."
"Type of Employment","_TYPE_OF_EMPLOYMENT_Display(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_SQWL_RULES_NH)","No","HRX_US_FED_TYPE_EMPLOYMENT","Tax Reporting Unit For United States","New Hampshire State Quarterly Wage Listing Rules Overrides","Captures Type of Employment"
"Type of Employment","_TYPE_OF_EMPLOYMENT_Display(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_SQWL_RULES_PA)","Yes","HRX_US_TYPE_EMPLOYMENT","Tax Reporting Unit For United States","Pennsylvania State Quarterly Wage Listing Rules Overrides","Captures the type of employment."
"Type of Employment","_TYPE_OF_EMPLOYMENT_Display(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_SQWL_RULES_SC)","Yes","HRX_US_TYPE_EMPLOYMENT","Tax Reporting Unit For United States","South Carolina State Quarterly Wage Listing Rules Overrides","Captures Type of Employment."
"Type of Employer","_HRX_US_W2_FED_EMP_KIND(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_FEDERAL_RULES)","Yes","HRX_US_W2_FED_EMP_KIND","Payroll Statutory Unit For United States","Federal W-2 Reporting Rules","Captures the Type of Employer"
"Type of Employer","_HRX_US_W2_FED_EMP_KIND(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_FEDERAL_RULES)","Yes","HRX_US_W2_FED_EMP_KIND","Tax Reporting Unit For United States","Federal Year-End Reporting Rules","Captures the type of Employer at Federal Section"
"Type of Employer","_HRX_US_W2_FED_EMP_KIND_Display(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_FEDERAL_RULES)","Yes","HRX_US_W2_FED_EMP_KIND","Payroll Statutory Unit For United States","Federal W-2 Reporting Rules","Captures the Type of Employer"
"Type of Employer","_HRX_US_W2_FED_EMP_KIND_Display(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_FEDERAL_RULES)","Yes","HRX_US_W2_FED_EMP_KIND","Tax Reporting Unit For United States","Federal Year-End Reporting Rules","Captures the type of Employer at Federal Section"
"Type of Employer","_TYPE_OF_EMPLOYER(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_SQWL_RULES_NH)","Yes","HRX_US_W2_FED_EMP_KIND","Payroll Statutory Unit For United States","New Hampshire State Quarterly Wage Listing Rules","Captures Type of Employer"
"Type of Employer","_TYPE_OF_EMPLOYER(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_SQWL_RULES_NH)","Yes","HRX_US_W2_FED_EMP_KIND","Tax Reporting Unit For United States","New Hampshire State Quarterly Wage Listing Rules Overrides","Captures Type of Employer"
"Type of Employer","_TYPE_OF_EMPLOYER_Display(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_SQWL_RULES_NH)","Yes","HRX_US_W2_FED_EMP_KIND","Payroll Statutory Unit For United States","New Hampshire State Quarterly Wage Listing Rules","Captures Type of Employer"
"Type of Employer","_TYPE_OF_EMPLOYER_Display(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_SQWL_RULES_NH)","Yes","HRX_US_W2_FED_EMP_KIND","Tax Reporting Unit For United States","New Hampshire State Quarterly Wage Listing Rules Overrides","Captures Type of Employer"
"Type","type(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_US_LOCAL_BALANCE)","No","ORA_HRX_US_ARCHIVE_TYPE","Enterprise","US Balance Definition","This field is used to capture information to identify the means by which local taxes are going to be captured"
