Name,METADATA Attribute,Required,Value Set Code,Category,Context,Description
"Government Contractor","_GOVERNMENT_CONTRACTOR(PER_LOCATION_LEG_EFF=HRX_US_REPORTING_INFORMATION)","No","HRC_YES_NO","HcmLocationsLegislativeCategory","United States Reporting Information","Captures the data for reporting on government contractors."
"Government Contractor","_GOVERNMENT_CONTRACTOR_Display(PER_LOCATION_LEG_EFF=HRX_US_REPORTING_INFORMATION)","No","HRC_YES_NO","HcmLocationsLegislativeCategory","United States Reporting Information","Captures the data for reporting on government contractors."
"Geocode","geocode(PER_LOCATION_LEG_EFF=ORA_HRX_US_WORK_TAX_JURD)","No","HRC_CHAR_40","HcmLocationsLegislativeCategory","Work Tax Jurisdictions",""
"Flexfield Context","FLEX:PER_LOCATION_LEG_EFF","Yes","","HcmLocationsLegislativeCategory","United States State Unemployment Reporting Information","Supply the code of the flexfield context."
"Flexfield Context","FLEX:PER_LOCATION_LEG_EFF","Yes","","HcmLocationsLegislativeCategory","United States Veteran Reporting Information","Supply the code of the flexfield context."
"Flexfield Context","FLEX:PER_LOCATION_LEG_EFF","Yes","","HcmLocationsLegislativeCategory","Pennsylvania Work Location PSD Information","Supply the code of the flexfield context."
"Flexfield Context","FLEX:PER_LOCATION_LEG_EFF","Yes","","HcmLocationsLegislativeCategory","Canada Provincial Medical Location Information","Supply the code of the flexfield context."
"Flexfield Context","FLEX:PER_LOCATION_LEG_EFF","Yes","","HcmLocationsLegislativeCategory","Canada Workers Compensation Location Information","Supply the code of the flexfield context."
"Flexfield Context","FLEX:PER_LOCATION_LEG_EFF","Yes","","HcmLocationsLegislativeCategory","India Employer Additional Contact Information","Supply the code of the flexfield context."
"Flexfield Context","FLEX:PER_LOCATION_LEG_EFF","Yes","","HcmLocationsLegislativeCategory","Canada Employment Equity Interface Rules","Supply the code of the flexfield context."
"Flexfield Context","FLEX:PER_LOCATION_LEG_EFF","Yes","","HcmLocationsLegislativeCategory","France Reporting Information","Supply the code of the flexfield context."
"Flexfield Context","FLEX:PER_LOCATION_LEG_EFF","Yes","","HcmLocationsLegislativeCategory","United States EEO-1 Reporting Information","Supply the code of the flexfield context."
"Flexfield Context","FLEX:PER_LOCATION_LEG_EFF","Yes","","HcmLocationsLegislativeCategory","United States EEO and Veteran Reporting Information","Supply the code of the flexfield context."
"Flexfield Context","FLEX:PER_LOCATION_LEG_EFF","Yes","","HcmLocationsLegislativeCategory","United States Multiple Worksite Reporting Information","Supply the code of the flexfield context."
"Flexfield Context","FLEX:PER_LOCATION_LEG_EFF","Yes","","HcmLocationsLegislativeCategory","United States Reporting Information","Supply the code of the flexfield context."
"Flexfield Context","FLEX:PER_LOCATION_LEG_EFF","Yes","","HcmLocationsLegislativeCategory","Work Tax Jurisdictions","Supply the code of the flexfield context."
"Extensible Flexfield Category","EFF_CATEGORY_CODE","Yes","","HcmLocationsLegislativeCategory","United States State Unemployment Reporting Information","Supply the code of the flexfield category."
"Extensible Flexfield Category","EFF_CATEGORY_CODE","Yes","","HcmLocationsLegislativeCategory","United States Veteran Reporting Information","Supply the code of the flexfield category."
"Extensible Flexfield Category","EFF_CATEGORY_CODE","Yes","","HcmLocationsLegislativeCategory","Pennsylvania Work Location PSD Information","Supply the code of the flexfield category."
"Extensible Flexfield Category","EFF_CATEGORY_CODE","Yes","","HcmLocationsLegislativeCategory","Canada Provincial Medical Location Information","Supply the code of the flexfield category."
"Extensible Flexfield Category","EFF_CATEGORY_CODE","Yes","","HcmLocationsLegislativeCategory","Canada Workers Compensation Location Information","Supply the code of the flexfield category."
"Extensible Flexfield Category","EFF_CATEGORY_CODE","Yes","","HcmLocationsLegislativeCategory","India Employer Additional Contact Information","Supply the code of the flexfield category."
"Extensible Flexfield Category","EFF_CATEGORY_CODE","Yes","","HcmLocationsLegislativeCategory","Canada Employment Equity Interface Rules","Supply the code of the flexfield category."
"Extensible Flexfield Category","EFF_CATEGORY_CODE","Yes","","HcmLocationsLegislativeCategory","France Reporting Information","Supply the code of the flexfield category."
"Extensible Flexfield Category","EFF_CATEGORY_CODE","Yes","","HcmLocationsLegislativeCategory","United States EEO-1 Reporting Information","Supply the code of the flexfield category."
"Extensible Flexfield Category","EFF_CATEGORY_CODE","Yes","","HcmLocationsLegislativeCategory","United States EEO and Veteran Reporting Information","Supply the code of the flexfield category."
"Extensible Flexfield Category","EFF_CATEGORY_CODE","Yes","","HcmLocationsLegislativeCategory","United States Multiple Worksite Reporting Information","Supply the code of the flexfield category."
"Extensible Flexfield Category","EFF_CATEGORY_CODE","Yes","","HcmLocationsLegislativeCategory","United States Reporting Information","Supply the code of the flexfield category."
"Extensible Flexfield Category","EFF_CATEGORY_CODE","Yes","","HcmLocationsLegislativeCategory","Work Tax Jurisdictions","Supply the code of the flexfield category."
"Establishment Comments2","establishmentComments2(PER_LOCATION_LEG_EFF=HRX_US_REPORTING_INFORMATION)","No","HRC_CHAR_150","HcmLocationsLegislativeCategory","United States Reporting Information",""
